canonical_master_id,canonical_master_name,source_flags,possible_mm_match,status,notes
bryonia-alba,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
aconitum-napellus,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
arsenicum-album,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
rhus-toxicodendron,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
remedy_5,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
remedy_6,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
remedy_7,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
remedy_8,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
remedy_9,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
remedy_10,,"materia_medica,repertory",NONE,MASTER_ONLY,"Generated audit record"
